time,station_id,part_id,activity,
2023-01-30T13:11:24Z,S2,P1003,EXIT,
2023-01-30T13:11:24Z,S2,P1005,ENTER,
2023-01-30T13:11:36Z,S4,P1003,ENTER,
2023-01-30T13:12:09Z,S2,P997,EXIT,
2023-01-30T13:12:09Z,S2,P992,ENTER,
2023-01-30T13:12:10Z,S4,P1003,EXIT,
2023-01-30T13:12:17Z,S3,P997,ENTER,
2023-01-30T13:12:38Z,S2,P1005,EXIT,
2023-01-30T13:12:38Z,S2,P1006,ENTER,
2023-01-30T13:12:38Z,S1,P1008,EXIT,
2023-01-30T13:12:38Z,S1,P1009,ENTER,
2023-01-30T13:12:55Z,S3,P997,EXIT,
2023-01-30T13:12:55Z,S3,P1005,ENTER,
2023-01-30T13:13:45Z,S1,P1009,EXIT,
2023-01-30T13:13:45Z,S1,P1010,ENTER,
2023-01-30T13:13:52Z,S3,P1005,EXIT,
2023-01-30T13:15:02Z,S2,P1006,EXIT,
2023-01-30T13:15:02Z,S2,P1007,ENTER,
2023-01-30T13:15:12Z,S4,P1006,ENTER,
2023-01-30T13:15:28Z,S1,P1010,EXIT,
2023-01-30T13:15:28Z,S1,P1011,ENTER,
2023-01-30T13:15:51Z,S2,P992,EXIT,
2023-01-30T13:15:51Z,S2,P1004,ENTER,
2023-01-30T13:15:58Z,S3,P992,ENTER,
2023-01-30T13:16:22Z,S1,P1011,EXIT,
2023-01-30T13:16:22Z,S1,P1012,ENTER,
2023-01-30T13:17:48Z,S2,P1007,EXIT,
2023-01-30T13:17:48Z,S2,P1008,ENTER,
2023-01-30T13:17:48Z,S3,P992,EXIT,
2023-01-30T13:17:50Z,S4,P1006,EXIT,
2023-01-30T13:17:58Z,S3,P1007,ENTER,
2023-01-30T13:17:59Z,S2,P1004,EXIT,
2023-01-30T13:17:59Z,S2,P997,ENTER,
2023-01-30T13:17:59Z,S1,P1012,EXIT,
2023-01-30T13:17:59Z,S1,P1013,ENTER,
2023-01-30T13:18:08Z,S4,P1004,ENTER,
2023-01-30T13:18:25Z,S2,P1008,EXIT,
2023-01-30T13:18:25Z,S2,P1009,ENTER,
2023-01-30T13:18:28Z,S3,P1007,EXIT,
2023-01-30T13:19:32Z,S4,P1004,EXIT,
2023-01-30T13:19:32Z,S4,P1008,ENTER,
2023-01-30T13:19:59Z,S2,P1009,EXIT,
2023-01-30T13:19:59Z,S2,P1005,ENTER,
2023-01-30T13:20:10Z,S1,P1013,EXIT,
2023-01-30T13:20:10Z,S1,P1014,ENTER,
2023-01-30T13:20:32Z,S4,P1008,EXIT,
2023-01-30T13:20:32Z,S4,P1009,ENTER,
2023-01-30T13:20:50Z,S2,P997,EXIT,
2023-01-30T13:20:50Z,S2,P1010,ENTER,
2023-01-30T13:20:54Z,S2,P1005,EXIT,
2023-01-30T13:20:54Z,S2,P1011,ENTER,
2023-01-30T13:21:02Z,S3,P1005,ENTER,
2023-01-30T13:21:26Z,S4,P1009,EXIT,
2023-01-30T13:21:26Z,S4,P997,ENTER,
2023-01-30T13:21:29Z,S1,P1014,EXIT,
2023-01-30T13:21:29Z,S1,P1015,ENTER,
2023-01-30T13:21:52Z,S3,P1005,EXIT,
2023-01-30T13:22:01Z,S2,P1010,EXIT,
2023-01-30T13:22:01Z,S2,P992,ENTER,
2023-01-30T13:22:50Z,S1,P1015,EXIT,
2023-01-30T13:22:50Z,S1,P1016,ENTER,
2023-01-30T13:24:06Z,S4,P997,EXIT,
2023-01-30T13:24:06Z,S4,P1010,ENTER,
2023-01-30T13:24:12Z,S2,P1011,EXIT,
2023-01-30T13:24:12Z,S2,P1012,ENTER,
2023-01-30T13:24:30Z,S1,P1016,EXIT,
2023-01-30T13:24:30Z,S1,P1017,ENTER,
2023-01-30T13:25:00Z,S2,P992,EXIT,
2023-01-30T13:25:00Z,S2,P1007,ENTER,
2023-01-30T13:25:10Z,S4,P1010,EXIT,
2023-01-30T13:25:10Z,S4,P1011,ENTER,
2023-01-30T13:25:22Z,S1,P1017,EXIT,
2023-01-30T13:25:22Z,S1,P1018,ENTER,
2023-01-30T13:25:55Z,S4,P1011,EXIT,
2023-01-30T13:25:55Z,S4,P992,ENTER,
2023-01-30T13:26:05Z,S2,P1007,EXIT,
2023-01-30T13:26:05Z,S2,P1013,ENTER,
2023-01-30T13:26:44Z,S1,P1018,EXIT,
2023-01-30T13:26:44Z,S1,P1019,ENTER,
2023-01-30T13:26:57Z,S2,P1012,EXIT,
2023-01-30T13:26:57Z,S2,P1014,ENTER,
2023-01-30T13:27:09Z,S3,P1012,ENTER,
2023-01-30T13:27:35Z,S3,P1012,EXIT,
2023-01-30T13:28:11Z,S4,P992,EXIT,
2023-01-30T13:28:11Z,S4,P1007,ENTER,
2023-01-30T13:28:30Z,S4,P1007,EXIT,
2023-01-30T13:29:04Z,S2,P1013,EXIT,
2023-01-30T13:29:04Z,S2,P1005,ENTER,
2023-01-30T13:29:04Z,S1,P1019,EXIT,
2023-01-30T13:29:04Z,S1,P1020,ENTER,
2023-01-30T13:29:12Z,S3,P1013,ENTER,
2023-01-30T13:29:15Z,S2,P1014,EXIT,
2023-01-30T13:29:15Z,S2,P1015,ENTER,
2023-01-30T13:29:37Z,S3,P1013,EXIT,
2023-01-30T13:29:37Z,S3,P1014,ENTER,
2023-01-30T13:30:34Z,S2,P1005,EXIT,
2023-01-30T13:30:34Z,S2,P1016,ENTER,
2023-01-30T13:30:34Z,S1,P1020,EXIT,
2023-01-30T13:30:34Z,S1,P1021,ENTER,
2023-01-30T13:30:46Z,S2,P1015,EXIT,
2023-01-30T13:30:46Z,S2,P1017,ENTER,
2023-01-30T13:30:46Z,S3,P1014,EXIT,
2023-01-30T13:30:47Z,S3,P1005,ENTER,
2023-01-30T13:30:51Z,S4,P1015,ENTER,
2023-01-30T13:31:07Z,S2,P1016,EXIT,
2023-01-30T13:31:07Z,S2,P1018,ENTER,
2023-01-30T13:31:07Z,S1,P1021,EXIT,
2023-01-30T13:31:07Z,S1,P1022,ENTER,
2023-01-30T13:31:58Z,S4,P1015,EXIT,
2023-01-30T13:31:58Z,S4,P1016,ENTER,
2023-01-30T13:32:34Z,S2,P1017,EXIT,
2023-01-30T13:32:34Z,S2,P1012,ENTER,
2023-01-30T13:32:34Z,S1,P1022,EXIT,
2023-01-30T13:32:34Z,S1,P1023,ENTER,
2023-01-30T13:33:16Z,S2,P1012,EXIT,
2023-01-30T13:33:16Z,S2,P1019,ENTER,
