time,station_id,part_id,activity,
2023-01-29T12:44:18Z,S1,P1,ENTER,
2023-01-29T12:44:18Z,S1,P2,ENTER,
2023-01-29T12:45:03Z,S1,P1,EXIT,
2023-01-29T12:45:03Z,S1,P3,ENTER,
2023-01-29T12:45:13Z,S2,P1,ENTER,
2023-01-29T12:45:29Z,S1,P2,EXIT,
2023-01-29T12:45:29Z,S1,P4,ENTER,
2023-01-29T12:46:30Z,S1,P4,EXIT,
2023-01-29T12:46:30Z,S1,P5,ENTER,
2023-01-29T12:46:49Z,S2,P1,EXIT,
2023-01-29T12:46:49Z,S2,P2,ENTER,
2023-01-29T12:46:51Z,S1,P3,EXIT,
2023-01-29T12:46:51Z,S1,P6,ENTER,
2023-01-29T12:47:00Z,S4,P1,ENTER,
2023-01-29T12:47:29Z,S1,P5,EXIT,
2023-01-29T12:47:29Z,S1,P7,ENTER,
2023-01-29T12:47:32Z,S4,P1,EXIT,
2023-01-29T12:47:38Z,S3,P5,ENTER,
2023-01-29T12:47:54Z,S1,P7,EXIT,
2023-01-29T12:47:54Z,S1,P8,ENTER,
2023-01-29T12:48:25Z,S1,P8,EXIT,
2023-01-29T12:48:25Z,S1,P9,ENTER,
2023-01-29T12:48:37Z,S1,P6,EXIT,
2023-01-29T12:48:37Z,S1,P10,ENTER,
2023-01-29T12:48:42Z,S3,P5,EXIT,
2023-01-29T12:48:42Z,S3,P8,ENTER,
2023-01-29T12:48:50Z,S2,P2,EXIT,
2023-01-29T12:48:50Z,S2,P4,ENTER,
2023-01-29T12:48:52Z,S4,P5,ENTER,
2023-01-29T12:49:31Z,S1,P10,EXIT,
2023-01-29T12:49:52Z,S2,P4,EXIT,
2023-01-29T12:49:52Z,S2,P3,ENTER,
2023-01-29T12:49:53Z,S4,P5,EXIT,
2023-01-29T12:49:53Z,S1,P11,ENTER,
2023-01-29T12:49:53Z,S4,P2,ENTER,
2023-01-29T12:50:27Z,S1,P9,EXIT,
2023-01-29T12:50:41Z,S1,P11,EXIT,
2023-01-29T12:51:15Z,S3,P8,EXIT,
2023-01-29T12:51:15Z,S3,P10,ENTER,
2023-01-29T12:52:03Z,S4,P2,EXIT,
2023-01-29T12:52:03Z,S1,P12,ENTER,
2023-01-29T12:52:03Z,S4,P4,ENTER,
2023-01-29T12:52:44Z,S3,P10,EXIT,
2023-01-29T12:52:44Z,S3,P9,ENTER,
2023-01-29T12:52:50Z,S2,P3,EXIT,
2023-01-29T12:52:50Z,S2,P7,ENTER,
2023-01-29T12:53:20Z,S4,P4,EXIT,
2023-01-29T12:53:20Z,S1,P13,ENTER,
2023-01-29T12:53:20Z,S4,P8,ENTER,
2023-01-29T12:54:18Z,S3,P9,EXIT,
2023-01-29T12:54:18Z,S3,P11,ENTER,
2023-01-29T12:54:24Z,S1,P13,EXIT,
2023-01-29T12:54:30Z,S4,P8,EXIT,
2023-01-29T12:54:30Z,S1,P14,ENTER,
2023-01-29T12:54:30Z,S4,P10,ENTER,
2023-01-29T12:55:04Z,S1,P12,EXIT,
2023-01-29T12:55:27Z,S4,P10,EXIT,
2023-01-29T12:55:27Z,S1,P15,ENTER,
2023-01-29T12:55:27Z,S4,P3,ENTER,
2023-01-29T12:56:23Z,S1,P14,EXIT,
2023-01-29T12:56:58Z,S1,P15,EXIT,
2023-01-29T12:57:09Z,S4,P3,EXIT,
2023-01-29T12:57:09Z,S1,P16,ENTER,
