time,station_id,part_id,activity,
2023-01-30T12:41:58Z,S4,P999,EXIT,
2023-01-30T12:41:58Z,S1,P1010,ENTER,
2023-01-30T12:41:58Z,S4,P1003,ENTER,
2023-01-30T12:42:18Z,S1,P1009,EXIT,
2023-01-30T12:42:26Z,S3,P1007,EXIT,
2023-01-30T12:42:26Z,S3,P1006,ENTER,
2023-01-30T12:43:06Z,S4,P1003,EXIT,
2023-01-30T12:43:06Z,S1,P1011,ENTER,
2023-01-30T12:43:06Z,S4,P1000,ENTER,
2023-01-30T12:43:18Z,S2,P1004,EXIT,
2023-01-30T12:43:18Z,S2,P1005,ENTER,
2023-01-30T12:44:39Z,S1,P1010,EXIT,
2023-01-30T12:44:45Z,S4,P1000,EXIT,
2023-01-30T12:44:45Z,S1,P1012,ENTER,
2023-01-30T12:44:45Z,S4,P1007,ENTER,
2023-01-30T12:45:10Z,S2,P1005,EXIT,
2023-01-30T12:45:10Z,S2,P1010,ENTER,
2023-01-30T12:45:12Z,S3,P1006,EXIT,
2023-01-30T12:45:12Z,S3,P1008,ENTER,
2023-01-30T12:45:19Z,S1,P1011,EXIT,
2023-01-30T12:45:50Z,S1,P1012,EXIT,
2023-01-30T12:45:52Z,S4,P1007,EXIT,
2023-01-30T12:45:52Z,S1,P1013,ENTER,
2023-01-30T12:45:52Z,S4,P1004,ENTER,
2023-01-30T12:46:39Z,S3,P1008,EXIT,
2023-01-30T12:46:39Z,S3,P1009,ENTER,
2023-01-30T12:46:51Z,S4,P1004,EXIT,
2023-01-30T12:46:51Z,S1,P1014,ENTER,
2023-01-30T12:46:51Z,S4,P1006,ENTER,
2023-01-30T12:47:49Z,S2,P1010,EXIT,
2023-01-30T12:47:49Z,S2,P1012,ENTER,
2023-01-30T12:48:47Z,S1,P1014,EXIT,
2023-01-30T12:48:59Z,S4,P1006,EXIT,
2023-01-30T12:48:59Z,S1,P1015,ENTER,
2023-01-30T12:48:59Z,S4,P1005,ENTER,
2023-01-30T12:49:13Z,S3,P1009,EXIT,
2023-01-30T12:49:13Z,S3,P1011,ENTER,
2023-01-30T12:49:57Z,S4,P1005,EXIT,
2023-01-30T12:49:57Z,S4,P1008,ENTER,
2023-01-30T12:50:01Z,S3,P1011,EXIT,
2023-01-30T12:50:41Z,S1,P1013,EXIT,
2023-01-30T12:50:41Z,S1,P1016,ENTER,
2023-01-30T12:51:14Z,S2,P1012,EXIT,
2023-01-30T12:51:14Z,S2,P1014,ENTER,
2023-01-30T12:51:22Z,S1,P1015,EXIT,
2023-01-30T12:51:31Z,S4,P1008,EXIT,
2023-01-30T12:51:31Z,S1,P1017,ENTER,
2023-01-30T12:51:31Z,S4,P1010,ENTER,
2023-01-30T12:52:21Z,S1,P1016,EXIT,
2023-01-30T12:52:31Z,S3,P1016,ENTER,
2023-01-30T12:52:32Z,S2,P1014,EXIT,
2023-01-30T12:52:32Z,S2,P1013,ENTER,
2023-01-30T12:53:45Z,S4,P1010,EXIT,
2023-01-30T12:53:45Z,S1,P1018,ENTER,
2023-01-30T12:53:45Z,S4,P1009,ENTER,
2023-01-30T12:53:56Z,S3,P1016,EXIT,
2023-01-30T12:54:20Z,S1,P1017,EXIT,
2023-01-30T12:54:46Z,S4,P1009,EXIT,
2023-01-30T12:54:46Z,S1,P1019,ENTER,
2023-01-30T12:54:46Z,S4,P1011,ENTER,
2023-01-30T12:55:40Z,S1,P1019,EXIT,
2023-01-30T12:55:42Z,S4,P1011,EXIT,
2023-01-30T12:55:42Z,S1,P1020,ENTER,
2023-01-30T12:55:42Z,S4,P1012,ENTER,
2023-01-30T12:55:49Z,S3,P1019,ENTER,
2023-01-30T12:56:54Z,S1,P1018,EXIT,
2023-01-30T12:56:58Z,S2,P1013,EXIT,
2023-01-30T12:56:58Z,S2,P1015,ENTER,
2023-01-30T12:57:35Z,S3,P1019,EXIT,
2023-01-30T12:58:00Z,S1,P1020,EXIT,
2023-01-30T12:58:08Z,S3,P1020,ENTER,
2023-01-30T12:58:40Z,S2,P1015,EXIT,
2023-01-30T12:58:40Z,S2,P1017,ENTER,
2023-01-30T12:58:48Z,S4,P1012,EXIT,
2023-01-30T12:58:48Z,S1,P1021,ENTER,
2023-01-30T12:58:48Z,S4,P1014,ENTER,
2023-01-30T12:59:11Z,S4,P1014,EXIT,
2023-01-30T12:59:11Z,S1,P1022,ENTER,
2023-01-30T12:59:11Z,S4,P1016,ENTER,
2023-01-30T13:00:45Z,S4,P1016,EXIT,
2023-01-30T13:00:45Z,S4,P1013,ENTER,
2023-01-30T13:01:12Z,S1,P1022,EXIT,
2023-01-30T13:01:12Z,S1,P1023,ENTER,
2023-01-30T13:01:18Z,S1,P1021,EXIT,
2023-01-30T13:01:32Z,S4,P1013,EXIT,
2023-01-30T13:01:32Z,S1,P1024,ENTER,
2023-01-30T13:01:32Z,S4,P1019,ENTER,
2023-01-30T13:01:49Z,S1,P1023,EXIT,
2023-01-30T13:01:53Z,S2,P1017,EXIT,
2023-01-30T13:01:53Z,S2,P1018,ENTER,
2023-01-30T13:01:58Z,S4,P1019,EXIT,
2023-01-30T13:01:58Z,S1,P1025,ENTER,
2023-01-30T13:01:58Z,S4,P1015,ENTER,
2023-01-30T13:02:05Z,S3,P1020,EXIT,
2023-01-30T13:02:05Z,S3,P1022,ENTER,
2023-01-30T13:03:06Z,S4,P1015,EXIT,
2023-01-30T13:03:06Z,S4,P1017,ENTER,
2023-01-30T13:03:11Z,S1,P1024,EXIT,
2023-01-30T13:03:11Z,S1,P1026,ENTER,
2023-01-30T13:03:25Z,S2,P1018,EXIT,
2023-01-30T13:03:25Z,S2,P1023,ENTER,
2023-01-30T13:03:36Z,S1,P1025,EXIT,
2023-01-30T13:05:10Z,S4,P1017,EXIT,
2023-01-30T13:05:10Z,S1,P1027,ENTER,
2023-01-30T13:05:10Z,S4,P1020,ENTER,
2023-01-30T13:05:45Z,S1,P1027,EXIT,
2023-01-30T13:07:10Z,S2,P1023,EXIT,
2023-01-30T13:07:10Z,S2,P1025,ENTER,
2023-01-30T13:07:12Z,S4,P1020,EXIT,
2023-01-30T13:07:12Z,S1,P1028,ENTER,
2023-01-30T13:07:12Z,S4,P1018,ENTER,
2023-01-30T13:07:40Z,S1,P1026,EXIT,
2023-01-30T13:07:43Z,S3,P1022,EXIT,
2023-01-30T13:07:43Z,S3,P1021,ENTER,
2023-01-30T13:07:55Z,S1,P1028,EXIT,
2023-01-30T13:08:15Z,S4,P1018,EXIT,
2023-01-30T13:08:15Z,S1,P1029,ENTER,
2023-01-30T13:08:15Z,S4,P1023,ENTER,
2023-01-30T13:09:34Z,S3,P1021,EXIT,
2023-01-30T13:09:34Z,S3,P1024,ENTER,
2023-01-30T13:09:35Z,S4,P1023,EXIT,
2023-01-30T13:09:35Z,S1,P1030,ENTER,
2023-01-30T13:09:35Z,S4,P1022,ENTER,
2023-01-30T13:09:47Z,S1,P1029,EXIT,
2023-01-30T13:09:48Z,S2,P1025,EXIT,
2023-01-30T13:09:48Z,S2,P1027,ENTER,
2023-01-30T13:10:20Z,S4,P1022,EXIT,
2023-01-30T13:10:20Z,S1,P1031,ENTER,
2023-01-30T13:10:20Z,S4,P1021,ENTER,
2023-01-30T13:10:42Z,S1,P1031,EXIT,
2023-01-30T13:11:06Z,S2,P1027,EXIT,
2023-01-30T13:11:06Z,S2,P1026,ENTER,
2023-01-30T13:11:11Z,S3,P1024,EXIT,
2023-01-30T13:11:11Z,S3,P1029,ENTER,
2023-01-30T13:11:24Z,S1,P1030,EXIT,
2023-01-30T13:11:48Z,S4,P1021,EXIT,
2023-01-30T13:11:48Z,S1,P1032,ENTER,
2023-01-30T13:11:48Z,S4,P1025,ENTER,
2023-01-30T13:13:01Z,S4,P1025,EXIT,
2023-01-30T13:13:01Z,S1,P1033,ENTER,
2023-01-30T13:13:01Z,S4,P1027,ENTER,
2023-01-30T13:13:31Z,S3,P1029,EXIT,
2023-01-30T13:13:31Z,S3,P1031,ENTER,
2023-01-30T13:13:45Z,S2,P1026,EXIT,
2023-01-30T13:13:45Z,S2,P1028,ENTER,
2023-01-30T13:13:51Z,S1,P1032,EXIT,
2023-01-30T13:14:27Z,S3,P1031,EXIT,
2023-01-30T13:14:27Z,S3,P1030,ENTER,
2023-01-30T13:14:30Z,S4,P1027,EXIT,
2023-01-30T13:14:30Z,S1,P1034,ENTER,
2023-01-30T13:14:30Z,S4,P1024,ENTER,
2023-01-30T13:14:38Z,S2,P1028,EXIT,
2023-01-30T13:15:07Z,S4,P1024,EXIT,
2023-01-30T13:15:07Z,S4,P1029,ENTER,
2023-01-30T13:16:01Z,S1,P1033,EXIT,
2023-01-30T13:16:01Z,S1,P1035,ENTER,
2023-01-30T13:16:03Z,S3,P1030,EXIT,
2023-01-30T13:16:03Z,S3,P1032,ENTER,
2023-01-30T13:16:26Z,S1,P1034,EXIT,
2023-01-30T13:16:33Z,S2,P1034,ENTER,
2023-01-30T13:16:49Z,S4,P1029,EXIT,
2023-01-30T13:16:49Z,S1,P1036,ENTER,
2023-01-30T13:16:49Z,S4,P1026,ENTER,
2023-01-30T13:17:35Z,S4,P1026,EXIT,
2023-01-30T13:17:35Z,S4,P1031,ENTER,
2023-01-30T13:18:04Z,S1,P1035,EXIT,
2023-01-30T13:18:04Z,S1,P1037,ENTER,
2023-01-30T13:19:09Z,S1,P1037,EXIT,
2023-01-30T13:19:38Z,S1,P1036,EXIT,
2023-01-30T13:19:46Z,S2,P1034,EXIT,
2023-01-30T13:19:46Z,S2,P1037,ENTER,
2023-01-30T13:20:06Z,S3,P1032,EXIT,
2023-01-30T13:20:06Z,S3,P1033,ENTER,
2023-01-30T13:20:18Z,S4,P1031,EXIT,
2023-01-30T13:20:18Z,S1,P1038,ENTER,
2023-01-30T13:20:18Z,S4,P1028,ENTER,
2023-01-30T13:21:29Z,S3,P1033,EXIT,
2023-01-30T13:21:29Z,S3,P1035,ENTER,
2023-01-30T13:21:29Z,S4,P1028,EXIT,
2023-01-30T13:21:29Z,S1,P1039,ENTER,
2023-01-30T13:21:29Z,S4,P1030,ENTER,
2023-01-30T13:21:59Z,S1,P1038,EXIT,
2023-01-30T13:22:05Z,S2,P1037,EXIT,
2023-01-30T13:22:05Z,S2,P1036,ENTER,
2023-01-30T13:22:42Z,S4,P1030,EXIT,
2023-01-30T13:22:42Z,S1,P1040,ENTER,
2023-01-30T13:22:42Z,S4,P1034,ENTER,
2023-01-30T13:23:12Z,S4,P1034,EXIT,
2023-01-30T13:23:12Z,S4,P1032,ENTER,
2023-01-30T13:23:19Z,S1,P1040,EXIT,
2023-01-30T13:23:19Z,S1,P1041,ENTER,
2023-01-30T13:23:22Z,S1,P1039,EXIT,
2023-01-30T13:23:51Z,S1,P1041,EXIT,
2023-01-30T13:24:10Z,S3,P1035,EXIT,
2023-01-30T13:24:10Z,S3,P1040,ENTER,
2023-01-30T13:24:20Z,S2,P1036,EXIT,
2023-01-30T13:24:20Z,S2,P1038,ENTER,
2023-01-30T13:24:28Z,S4,P1032,EXIT,
2023-01-30T13:24:28Z,S1,P1042,ENTER,
2023-01-30T13:24:28Z,S4,P1033,ENTER,
2023-01-30T13:25:09Z,S3,P1040,EXIT,
2023-01-30T13:25:09Z,S3,P1039,ENTER,
2023-01-30T13:25:59Z,S4,P1033,EXIT,
2023-01-30T13:25:59Z,S1,P1043,ENTER,
2023-01-30T13:25:59Z,S4,P1037,ENTER,
2023-01-30T13:26:10Z,S1,P1042,EXIT,
2023-01-30T13:27:23Z,S4,P1037,EXIT,
2023-01-30T13:27:23Z,S1,P1044,ENTER,
2023-01-30T13:27:23Z,S4,P1035,ENTER,
2023-01-30T13:27:55Z,S2,P1038,EXIT,
2023-01-30T13:27:55Z,S2,P1042,ENTER,
2023-01-30T13:28:11Z,S3,P1039,EXIT,
2023-01-30T13:28:11Z,S3,P1041,ENTER,
2023-01-30T13:28:21Z,S4,P1035,EXIT,
2023-01-30T13:28:21Z,S4,P1036,ENTER,
2023-01-30T13:28:51Z,S2,P1042,EXIT,
2023-01-30T13:29:10Z,S4,P1036,EXIT,
2023-01-30T13:29:10Z,S4,P1040,ENTER,
2023-01-30T13:29:27Z,S1,P1043,EXIT,
2023-01-30T13:29:27Z,S1,P1045,ENTER,
2023-01-30T13:29:37Z,S2,P1043,ENTER,
2023-01-30T13:29:53Z,S4,P1040,EXIT,
2023-01-30T13:29:53Z,S4,P1038,ENTER,
2023-01-30T13:29:53Z,S1,P1044,EXIT,
2023-01-30T13:29:53Z,S1,P1046,ENTER,
2023-01-30T13:30:29Z,S4,P1038,EXIT,
2023-01-30T13:30:29Z,S4,P1039,ENTER,
2023-01-30T13:30:43Z,S1,P1045,EXIT,
2023-01-30T13:30:43Z,S1,P1047,ENTER,
2023-01-30T13:31:12Z,S4,P1039,EXIT,
2023-01-30T13:31:12Z,S4,P1042,ENTER,
2023-01-30T13:31:29Z,S3,P1041,EXIT,
2023-01-30T13:31:29Z,S3,P1044,ENTER,
2023-01-30T13:31:43Z,S1,P1046,EXIT,
2023-01-30T13:31:43Z,S1,P1048,ENTER,
2023-01-30T13:31:50Z,S2,P1043,EXIT,
2023-01-30T13:31:50Z,S2,P1045,ENTER,
2023-01-30T13:32:11Z,S1,P1047,EXIT,
2023-01-30T13:32:11Z,S1,P1049,ENTER,
2023-01-30T13:32:13Z,S4,P1042,EXIT,
2023-01-30T13:32:13Z,S4,P1041,ENTER,
2023-01-30T13:32:50Z,S1,P1049,EXIT,
2023-01-30T13:32:50Z,S1,P1050,ENTER,
2023-01-30T13:33:55Z,S4,P1041,EXIT,
2023-01-30T13:33:55Z,S4,P1043,ENTER,
2023-01-30T13:34:49Z,S1,P1048,EXIT,
2023-01-30T13:34:49Z,S1,P1051,ENTER,
2023-01-30T13:35:34Z,S4,P1043,EXIT,
2023-01-30T13:35:41Z,S1,P1050,EXIT,
2023-01-30T13:35:41Z,S1,P1052,ENTER,
2023-01-30T13:35:46Z,S3,P1044,EXIT,
2023-01-30T13:35:46Z,S3,P1046,ENTER,
2023-01-30T13:35:53Z,S4,P1044,ENTER,
2023-01-30T13:35:57Z,S2,P1045,EXIT,
2023-01-30T13:35:57Z,S2,P1047,ENTER,
2023-01-30T13:36:27Z,S3,P1046,EXIT,
2023-01-30T13:37:38Z,S2,P1047,EXIT,
2023-01-30T13:37:38Z,S2,P1049,ENTER,
2023-01-30T13:37:41Z,S1,P1051,EXIT,
2023-01-30T13:37:50Z,S3,P1051,ENTER,
2023-01-30T13:38:16Z,S4,P1044,EXIT,
2023-01-30T13:38:16Z,S1,P1053,ENTER,
2023-01-30T13:38:16Z,S4,P1045,ENTER,
2023-01-30T13:38:50Z,S2,P1049,EXIT,
2023-01-30T13:38:50Z,S2,P1048,ENTER,
