time,station_id,part_id,activity,
2023-01-30T18:33:50Z,S3,P1003,EXIT,
2023-01-30T18:34:04Z,S1,P1006,EXIT,
2023-01-30T18:34:38Z,S4,P1001,EXIT,
2023-01-30T18:34:38Z,S1,P1007,ENTER,
2023-01-30T18:34:38Z,S4,P1003,ENTER,
2023-01-30T18:34:46Z,S2,P1004,EXIT,
2023-01-30T18:34:46Z,S2,P1005,ENTER,
2023-01-30T18:34:48Z,S1,P1007,EXIT,
2023-01-30T18:34:56Z,S3,P1004,ENTER,
2023-01-30T18:35:03Z,S2,P1002,EXIT,
2023-01-30T18:35:03Z,S2,P1006,ENTER,
2023-01-30T18:36:24Z,S2,P1006,EXIT,
2023-01-30T18:36:24Z,S2,P1007,ENTER,
2023-01-30T18:36:27Z,S3,P1004,EXIT,
2023-01-30T18:36:27Z,S3,P1002,ENTER,
2023-01-30T18:36:40Z,S4,P1003,EXIT,
2023-01-30T18:36:40Z,S1,P1008,ENTER,
2023-01-30T18:36:40Z,S4,P1004,ENTER,
2023-01-30T18:37:07Z,S1,P1008,EXIT,
2023-01-30T18:37:36Z,S2,P1005,EXIT,
2023-01-30T18:37:36Z,S2,P1008,ENTER,
2023-01-30T18:37:43Z,S3,P1002,EXIT,
2023-01-30T18:37:43Z,S3,P1006,ENTER,
2023-01-30T18:38:04Z,S4,P1004,EXIT,
2023-01-30T18:38:04Z,S1,P1009,ENTER,
2023-01-30T18:38:04Z,S4,P1002,ENTER,
2023-01-30T18:38:41Z,S1,P1009,EXIT,
2023-01-30T18:38:55Z,S3,P1006,EXIT,
2023-01-30T18:38:55Z,S3,P1005,ENTER,
2023-01-30T18:39:07Z,S4,P1002,EXIT,
2023-01-30T18:39:07Z,S1,P1010,ENTER,
2023-01-30T18:39:07Z,S4,P1006,ENTER,
2023-01-30T18:39:36Z,S2,P1008,EXIT,
2023-01-30T18:39:36Z,S2,P1009,ENTER,
2023-01-30T18:40:19Z,S1,P1010,EXIT,
2023-01-30T18:40:30Z,S4,P1006,EXIT,
2023-01-30T18:40:30Z,S1,P1011,ENTER,
2023-01-30T18:40:30Z,S3,P1005,EXIT,
2023-01-30T18:40:30Z,S3,P1008,ENTER,
2023-01-30T18:40:40Z,S4,P1005,ENTER,
2023-01-30T18:41:13Z,S1,P1011,EXIT,
2023-01-30T18:41:18Z,S3,P1008,EXIT,
2023-01-30T18:42:28Z,S2,P1009,EXIT,
2023-01-30T18:42:28Z,S2,P1010,ENTER,
2023-01-30T18:42:32Z,S4,P1005,EXIT,
2023-01-30T18:42:32Z,S1,P1012,ENTER,
2023-01-30T18:42:32Z,S4,P1008,ENTER,
2023-01-30T18:42:38Z,S3,P1009,ENTER,
2023-01-30T18:43:10Z,S2,P1007,EXIT,
2023-01-30T18:43:10Z,S2,P1011,ENTER,
2023-01-30T18:43:41Z,S2,P1010,EXIT,
2023-01-30T18:43:48Z,S1,P1012,EXIT,
2023-01-30T18:43:56Z,S3,P1009,EXIT,
2023-01-30T18:43:56Z,S3,P1007,ENTER,
2023-01-30T18:43:57Z,S2,P1012,ENTER,
2023-01-30T18:44:34Z,S4,P1008,EXIT,
2023-01-30T18:44:34Z,S1,P1013,ENTER,
2023-01-30T18:44:34Z,S4,P1009,ENTER,
2023-01-30T18:45:26Z,S3,P1007,EXIT,
2023-01-30T18:45:26Z,S3,P1010,ENTER,
2023-01-30T18:45:31Z,S2,P1011,EXIT,
2023-01-30T18:45:38Z,S1,P1013,EXIT,
2023-01-30T18:45:44Z,S2,P1012,EXIT,
2023-01-30T18:45:51Z,S2,P1013,ENTER,
2023-01-30T18:46:00Z,S3,P1010,EXIT,
2023-01-30T18:46:00Z,S3,P1011,ENTER,
2023-01-30T18:46:58Z,S4,P1009,EXIT,
2023-01-30T18:46:58Z,S1,P1014,ENTER,
2023-01-30T18:46:58Z,S4,P1007,ENTER,
2023-01-30T18:47:22Z,S3,P1011,EXIT,
2023-01-30T18:47:22Z,S3,P1012,ENTER,
2023-01-30T18:48:00Z,S3,P1012,EXIT,
2023-01-30T18:48:16Z,S1,P1014,EXIT,
2023-01-30T18:48:30Z,S2,P1014,ENTER,
2023-01-30T18:49:49Z,S2,P1013,EXIT,
2023-01-30T18:49:57Z,S3,P1013,ENTER,
2023-01-30T18:50:03Z,S4,P1007,EXIT,
2023-01-30T18:50:03Z,S1,P1015,ENTER,
2023-01-30T18:50:03Z,S4,P1010,ENTER,
2023-01-30T18:50:39Z,S1,P1015,EXIT,
2023-01-30T18:50:49Z,S2,P1015,ENTER,
2023-01-30T18:50:55Z,S3,P1013,EXIT,
2023-01-30T18:52:00Z,S4,P1010,EXIT,
2023-01-30T18:52:00Z,S1,P1016,ENTER,
2023-01-30T18:52:00Z,S4,P1011,ENTER,
2023-01-30T18:52:07Z,S2,P1014,EXIT,
2023-01-30T18:52:16Z,S3,P1014,ENTER,
2023-01-30T18:53:22Z,S2,P1015,EXIT,
2023-01-30T18:53:24Z,S4,P1011,EXIT,
2023-01-30T18:53:24Z,S4,P1012,ENTER,
2023-01-30T18:53:33Z,S1,P1016,EXIT,
2023-01-30T18:53:33Z,S1,P1017,ENTER,
2023-01-30T18:53:41Z,S2,P1016,ENTER,
2023-01-30T18:53:54Z,S3,P1014,EXIT,
2023-01-30T18:53:54Z,S3,P1015,ENTER,
2023-01-30T18:54:27Z,S4,P1012,EXIT,
2023-01-30T18:54:27Z,S4,P1013,ENTER,
2023-01-30T18:54:59Z,S4,P1013,EXIT,
2023-01-30T18:54:59Z,S4,P1014,ENTER,
2023-01-30T18:55:11Z,S2,P1016,EXIT,
2023-01-30T18:55:42Z,S3,P1015,EXIT,
2023-01-30T18:55:42Z,S3,P1016,ENTER,
2023-01-30T18:55:56Z,S1,P1017,EXIT,
2023-01-30T18:55:56Z,S1,P1018,ENTER,
2023-01-30T18:55:59Z,S4,P1014,EXIT,
2023-01-30T18:55:59Z,S4,P1015,ENTER,
2023-01-30T18:56:07Z,S2,P1017,ENTER,
2023-01-30T18:56:08Z,S3,P1016,EXIT,
2023-01-30T18:56:24Z,S1,P1018,EXIT,
2023-01-30T18:56:24Z,S1,P1019,ENTER,
2023-01-30T18:56:33Z,S2,P1018,ENTER,
2023-01-30T18:57:28Z,S1,P1019,EXIT,
2023-01-30T18:57:28Z,S1,P1020,ENTER,
2023-01-30T18:58:06Z,S2,P1017,EXIT,
2023-01-30T18:58:06Z,S2,P1019,ENTER,
2023-01-30T18:58:18Z,S3,P1017,ENTER,
2023-01-30T18:58:32Z,S1,P1020,EXIT,
2023-01-30T18:58:51Z,S3,P1017,EXIT,
2023-01-30T18:58:57Z,S4,P1015,EXIT,
2023-01-30T18:58:57Z,S1,P1021,ENTER,
2023-01-30T18:58:57Z,S4,P1016,ENTER,
2023-01-30T18:59:03Z,S2,P1018,EXIT,
2023-01-30T18:59:03Z,S2,P1020,ENTER,
2023-01-30T18:59:11Z,S3,P1018,ENTER,
2023-01-30T18:59:43Z,S1,P1021,EXIT,
2023-01-30T19:00:02Z,S4,P1016,EXIT,
2023-01-30T19:00:02Z,S1,P1022,ENTER,
2023-01-30T19:00:02Z,S4,P1017,ENTER,
2023-01-30T19:00:11Z,S3,P1018,EXIT,
2023-01-30T19:00:37Z,S1,P1022,EXIT,
2023-01-30T19:00:49Z,S4,P1017,EXIT,
2023-01-30T19:00:49Z,S1,P1023,ENTER,
2023-01-30T19:00:49Z,S4,P1018,ENTER,
2023-01-30T19:00:56Z,S2,P1019,EXIT,
2023-01-30T19:00:56Z,S2,P1021,ENTER,
2023-01-30T19:01:04Z,S3,P1019,ENTER,
2023-01-30T19:01:26Z,S1,P1023,EXIT,
2023-01-30T19:01:49Z,S2,P1020,EXIT,
2023-01-30T19:01:49Z,S2,P1022,ENTER,
2023-01-30T19:02:50Z,S3,P1019,EXIT,
2023-01-30T19:02:50Z,S3,P1020,ENTER,
2023-01-30T19:03:11Z,S2,P1022,EXIT,
2023-01-30T19:03:11Z,S2,P1023,ENTER,
2023-01-30T19:03:12Z,S2,P1021,EXIT,
